Comunidades autónomas;Tipo de dato;Periodo;Total
Total;Dato base;2021M01;434.362
Total;Dato base;2020M12;648.669
Total;Dato base;2020M11;456.956
Total;Dato base;2020M10;1.019.408
Total;Dato base;2020M09;1.140.186
Total;Dato base;2020M08;2.442.999
Total;Dato base;2020M07;2.464.441
Total;Dato base;2020M06;204.926
Total;Dato base;2020M05;0
Total;Dato base;2020M04;0
Total;Dato base;2020M03;2.018.323
Total;Dato base;2020M02;4.423.576
Total;Dato base;2020M01;4.133.024
Total;Dato base;2019M12;4.304.741
Total;Dato base;2019M11;4.655.021
Total;Dato base;2019M10;7.587.749
Total;Dato base;2019M09;8.845.152
Total;Dato base;2019M08;10.118.366
Total;Dato base;2019M07;9.873.270
Total;Dato base;2019M06;8.833.893
Total;Dato base;2019M05;7.919.204
Total;Dato base;2019M04;7.146.033
Total;Dato base;2019M03;5.649.577
Total;Dato base;2019M02;4.380.504
Total;Dato base;2019M01;4.195.641
Total;Dato base;2018M12;4.354.798
Total;Dato base;2018M11;4.536.873
Total;Dato base;2018M10;7.649.860
Total;Dato base;2018M09;8.932.308
Total;Dato base;2018M08;10.175.761
Total;Dato base;2018M07;10.020.246
Total;Dato base;2018M06;8.554.306
Total;Dato base;2018M05;8.086.048
Total;Dato base;2018M04;6.780.378
Total;Dato base;2018M03;5.393.186
Total;Dato base;2018M02;4.218.047
Total;Dato base;2018M01;4.106.601
01 Andalucía;Dato base;2021M01;49.716
01 Andalucía;Dato base;2020M12;60.577
01 Andalucía;Dato base;2020M11;49.227
01 Andalucía;Dato base;2020M10;143.378
01 Andalucía;Dato base;2020M09;179.214
01 Andalucía;Dato base;2020M08;364.111
01 Andalucía;Dato base;2020M07;359.725
01 Andalucía;Dato base;2020M06;14.183
01 Andalucía;Dato base;2020M05;0
01 Andalucía;Dato base;2020M04;0
01 Andalucía;Dato base;2020M03;302.928
01 Andalucía;Dato base;2020M02;625.033
01 Andalucía;Dato base;2020M01;605.451
01 Andalucía;Dato base;2019M12;557.861
01 Andalucía;Dato base;2019M11;614.169
01 Andalucía;Dato base;2019M10;1.191.120
01 Andalucía;Dato base;2019M09;1.375.342
01 Andalucía;Dato base;2019M08;1.403.701
01 Andalucía;Dato base;2019M07;1.256.656
01 Andalucía;Dato base;2019M06;1.243.394
01 Andalucía;Dato base;2019M05;1.204.749
01 Andalucía;Dato base;2019M04;1.131.483
01 Andalucía;Dato base;2019M03;842.934
01 Andalucía;Dato base;2019M02;626.983
01 Andalucía;Dato base;2019M01;574.761
01 Andalucía;Dato base;2018M12;552.595
01 Andalucía;Dato base;2018M11;604.357
01 Andalucía;Dato base;2018M10;1.140.163
01 Andalucía;Dato base;2018M09;1.319.350
01 Andalucía;Dato base;2018M08;1.424.410
01 Andalucía;Dato base;2018M07;1.327.577
01 Andalucía;Dato base;2018M06;1.168.948
01 Andalucía;Dato base;2018M05;1.193.716
01 Andalucía;Dato base;2018M04;1.044.566
01 Andalucía;Dato base;2018M03;787.749
01 Andalucía;Dato base;2018M02;579.798
01 Andalucía;Dato base;2018M01;538.026
04 Balears, Illes;Dato base;2021M01;15.166
04 Balears, Illes;Dato base;2020M12;22.083
04 Balears, Illes;Dato base;2020M11;20.102
04 Balears, Illes;Dato base;2020M10;84.139
04 Balears, Illes;Dato base;2020M09;119.279
04 Balears, Illes;Dato base;2020M08;453.794
04 Balears, Illes;Dato base;2020M07;588.431
04 Balears, Illes;Dato base;2020M06;28.382
04 Balears, Illes;Dato base;2020M05;0
04 Balears, Illes;Dato base;2020M04;0
04 Balears, Illes;Dato base;2020M03;116.018
04 Balears, Illes;Dato base;2020M02;185.550
04 Balears, Illes;Dato base;2020M01;103.772
04 Balears, Illes;Dato base;2019M12;124.847
04 Balears, Illes;Dato base;2019M11;182.713
04 Balears, Illes;Dato base;2019M10;1.224.498
04 Balears, Illes;Dato base;2019M09;2.006.475
04 Balears, Illes;Dato base;2019M08;2.256.991
04 Balears, Illes;Dato base;2019M07;2.344.094
04 Balears, Illes;Dato base;2019M06;2.065.353
04 Balears, Illes;Dato base;2019M05;1.701.167
04 Balears, Illes;Dato base;2019M04;1.081.557
04 Balears, Illes;Dato base;2019M03;365.813
04 Balears, Illes;Dato base;2019M02;184.351
04 Balears, Illes;Dato base;2019M01;141.922
04 Balears, Illes;Dato base;2018M12;183.329
04 Balears, Illes;Dato base;2018M11;188.018
04 Balears, Illes;Dato base;2018M10;1.284.111
04 Balears, Illes;Dato base;2018M09;2.031.600
04 Balears, Illes;Dato base;2018M08;2.297.469
04 Balears, Illes;Dato base;2018M07;2.429.816
04 Balears, Illes;Dato base;2018M06;2.121.434
04 Balears, Illes;Dato base;2018M05;1.708.101
04 Balears, Illes;Dato base;2018M04;930.679
04 Balears, Illes;Dato base;2018M03;401.293
04 Balears, Illes;Dato base;2018M02;156.311
04 Balears, Illes;Dato base;2018M01;119.437
05 Canarias;Dato base;2021M01;86.569
05 Canarias;Dato base;2020M12;207.064
05 Canarias;Dato base;2020M11;160.662
05 Canarias;Dato base;2020M10;136.896
05 Canarias;Dato base;2020M09;92.586
05 Canarias;Dato base;2020M08;240.666
05 Canarias;Dato base;2020M07;215.600
05 Canarias;Dato base;2020M06;2.201
05 Canarias;Dato base;2020M05;0
05 Canarias;Dato base;2020M04;0
05 Canarias;Dato base;2020M03;459.947
05 Canarias;Dato base;2020M02;1.170.610
05 Canarias;Dato base;2020M01;1.101.164
05 Canarias;Dato base;2019M12;1.200.768
05 Canarias;Dato base;2019M11;1.173.313
05 Canarias;Dato base;2019M10;1.143.699
05 Canarias;Dato base;2019M09;952.069
05 Canarias;Dato base;2019M08;1.040.312
05 Canarias;Dato base;2019M07;1.031.598
05 Canarias;Dato base;2019M06;931.782
05 Canarias;Dato base;2019M05;888.777
05 Canarias;Dato base;2019M04;1.105.470
05 Canarias;Dato base;2019M03;1.340.619
05 Canarias;Dato base;2019M02;1.179.673
05 Canarias;Dato base;2019M01;1.158.782
05 Canarias;Dato base;2018M12;1.256.190
05 Canarias;Dato base;2018M11;1.184.564
05 Canarias;Dato base;2018M10;1.257.744
05 Canarias;Dato base;2018M09;1.039.221
05 Canarias;Dato base;2018M08;1.098.384
05 Canarias;Dato base;2018M07;1.120.219
05 Canarias;Dato base;2018M06;1.001.434
05 Canarias;Dato base;2018M05;967.209
05 Canarias;Dato base;2018M04;1.103.003
05 Canarias;Dato base;2018M03;1.347.702
05 Canarias;Dato base;2018M02;1.192.866
05 Canarias;Dato base;2018M01;1.183.486
09 Cataluña;Dato base;2021M01;85.265
09 Cataluña;Dato base;2020M12;97.305
09 Cataluña;Dato base;2020M11;58.794
09 Cataluña;Dato base;2020M10;230.580
09 Cataluña;Dato base;2020M09;276.064
09 Cataluña;Dato base;2020M08;459.271
09 Cataluña;Dato base;2020M07;436.742
09 Cataluña;Dato base;2020M06;76.634
09 Cataluña;Dato base;2020M05;0
09 Cataluña;Dato base;2020M04;0
09 Cataluña;Dato base;2020M03;406.683
09 Cataluña;Dato base;2020M02;964.706
09 Cataluña;Dato base;2020M01;870.157
09 Cataluña;Dato base;2019M12;993.169
09 Cataluña;Dato base;2019M11;1.047.153
09 Cataluña;Dato base;2019M10;1.676.430
09 Cataluña;Dato base;2019M09;2.011.704
09 Cataluña;Dato base;2019M08;2.363.331
09 Cataluña;Dato base;2019M07;2.378.593
09 Cataluña;Dato base;2019M06;2.176.726
09 Cataluña;Dato base;2019M05;1.835.129
09 Cataluña;Dato base;2019M04;1.671.426
09 Cataluña;Dato base;2019M03;1.280.871
09 Cataluña;Dato base;2019M02;1.030.292
09 Cataluña;Dato base;2019M01;910.329
09 Cataluña;Dato base;2018M12;969.322
09 Cataluña;Dato base;2018M11;1.034.633
09 Cataluña;Dato base;2018M10;1.665.215
09 Cataluña;Dato base;2018M09;2.007.474
09 Cataluña;Dato base;2018M08;2.433.300
09 Cataluña;Dato base;2018M07;2.427.842
09 Cataluña;Dato base;2018M06;2.104.373
09 Cataluña;Dato base;2018M05;1.885.365
09 Cataluña;Dato base;2018M04;1.570.899
09 Cataluña;Dato base;2018M03;1.217.330
09 Cataluña;Dato base;2018M02;1.015.793
09 Cataluña;Dato base;2018M01;864.798
10 Comunitat Valenciana;Dato base;2021M01;49.727
10 Comunitat Valenciana;Dato base;2020M12;71.865
10 Comunitat Valenciana;Dato base;2020M11;53.946
10 Comunitat Valenciana;Dato base;2020M10;176.971
10 Comunitat Valenciana;Dato base;2020M09;185.256
10 Comunitat Valenciana;Dato base;2020M08;430.092
10 Comunitat Valenciana;Dato base;2020M07;383.013
10 Comunitat Valenciana;Dato base;2020M06;31.487
10 Comunitat Valenciana;Dato base;2020M05;0
10 Comunitat Valenciana;Dato base;2020M04;0
10 Comunitat Valenciana;Dato base;2020M03;253.718
10 Comunitat Valenciana;Dato base;2020M02;528.440
10 Comunitat Valenciana;Dato base;2020M01;433.023
10 Comunitat Valenciana;Dato base;2019M12;454.520
10 Comunitat Valenciana;Dato base;2019M11;541.121
10 Comunitat Valenciana;Dato base;2019M10;870.088
10 Comunitat Valenciana;Dato base;2019M09;1.011.901
10 Comunitat Valenciana;Dato base;2019M08;1.270.706
10 Comunitat Valenciana;Dato base;2019M07;1.243.375
10 Comunitat Valenciana;Dato base;2019M06;938.591
10 Comunitat Valenciana;Dato base;2019M05;857.711
10 Comunitat Valenciana;Dato base;2019M04;826.158
10 Comunitat Valenciana;Dato base;2019M03;648.462
10 Comunitat Valenciana;Dato base;2019M02;459.309
10 Comunitat Valenciana;Dato base;2019M01;413.553
10 Comunitat Valenciana;Dato base;2018M12;427.830
10 Comunitat Valenciana;Dato base;2018M11;497.041
10 Comunitat Valenciana;Dato base;2018M10;861.013
10 Comunitat Valenciana;Dato base;2018M09;1.005.841
10 Comunitat Valenciana;Dato base;2018M08;1.175.555
10 Comunitat Valenciana;Dato base;2018M07;1.132.280
10 Comunitat Valenciana;Dato base;2018M06;901.232
10 Comunitat Valenciana;Dato base;2018M05;910.651
10 Comunitat Valenciana;Dato base;2018M04;769.612
10 Comunitat Valenciana;Dato base;2018M03;625.460
10 Comunitat Valenciana;Dato base;2018M02;449.519
10 Comunitat Valenciana;Dato base;2018M01;450.874
13 Madrid, Comunidad de;Dato base;2021M01;45.559
13 Madrid, Comunidad de;Dato base;2020M12;47.885
13 Madrid, Comunidad de;Dato base;2020M11;32.799
13 Madrid, Comunidad de;Dato base;2020M10;39.575
13 Madrid, Comunidad de;Dato base;2020M09;48.123
13 Madrid, Comunidad de;Dato base;2020M08;60.816
13 Madrid, Comunidad de;Dato base;2020M07;76.239
13 Madrid, Comunidad de;Dato base;2020M06;20.522
13 Madrid, Comunidad de;Dato base;2020M05;0
13 Madrid, Comunidad de;Dato base;2020M04;0
13 Madrid, Comunidad de;Dato base;2020M03;251.590
13 Madrid, Comunidad de;Dato base;2020M02;518.261
13 Madrid, Comunidad de;Dato base;2020M01;611.184
13 Madrid, Comunidad de;Dato base;2019M12;528.787
13 Madrid, Comunidad de;Dato base;2019M11;665.927
13 Madrid, Comunidad de;Dato base;2019M10;742.086
13 Madrid, Comunidad de;Dato base;2019M09;667.799
13 Madrid, Comunidad de;Dato base;2019M08;542.359
13 Madrid, Comunidad de;Dato base;2019M07;626.031
13 Madrid, Comunidad de;Dato base;2019M06;702.026
13 Madrid, Comunidad de;Dato base;2019M05;758.323
13 Madrid, Comunidad de;Dato base;2019M04;640.694
13 Madrid, Comunidad de;Dato base;2019M03;683.364
13 Madrid, Comunidad de;Dato base;2019M02;499.245
13 Madrid, Comunidad de;Dato base;2019M01;584.339
13 Madrid, Comunidad de;Dato base;2018M12;526.753
13 Madrid, Comunidad de;Dato base;2018M11;603.691
13 Madrid, Comunidad de;Dato base;2018M10;709.987
13 Madrid, Comunidad de;Dato base;2018M09;697.128
13 Madrid, Comunidad de;Dato base;2018M08;507.079
13 Madrid, Comunidad de;Dato base;2018M07;619.516
13 Madrid, Comunidad de;Dato base;2018M06;603.147
13 Madrid, Comunidad de;Dato base;2018M05;659.045
13 Madrid, Comunidad de;Dato base;2018M04;631.303
13 Madrid, Comunidad de;Dato base;2018M03;560.178
13 Madrid, Comunidad de;Dato base;2018M02;485.810
13 Madrid, Comunidad de;Dato base;2018M01;536.137
Otras Comunidades Autónomas;Dato base;2021M01;102.361
Otras Comunidades Autónomas;Dato base;2020M12;141.891
Otras Comunidades Autónomas;Dato base;2020M11;81.425
Otras Comunidades Autónomas;Dato base;2020M10;207.869
Otras Comunidades Autónomas;Dato base;2020M09;239.664
Otras Comunidades Autónomas;Dato base;2020M08;434.248
Otras Comunidades Autónomas;Dato base;2020M07;404.691
Otras Comunidades Autónomas;Dato base;2020M06;31.518
Otras Comunidades Autónomas;Dato base;2020M05;0
Otras Comunidades Autónomas;Dato base;2020M04;0
Otras Comunidades Autónomas;Dato base;2020M03;227.439
Otras Comunidades Autónomas;Dato base;2020M02;430.976
Otras Comunidades Autónomas;Dato base;2020M01;408.272
Otras Comunidades Autónomas;Dato base;2019M12;444.789
Otras Comunidades Autónomas;Dato base;2019M11;430.625
Otras Comunidades Autónomas;Dato base;2019M10;739.829
Otras Comunidades Autónomas;Dato base;2019M09;819.862
Otras Comunidades Autónomas;Dato base;2019M08;1.240.966
Otras Comunidades Autónomas;Dato base;2019M07;992.922
Otras Comunidades Autónomas;Dato base;2019M06;776.021
Otras Comunidades Autónomas;Dato base;2019M05;673.347
Otras Comunidades Autónomas;Dato base;2019M04;689.245
Otras Comunidades Autónomas;Dato base;2019M03;487.515
Otras Comunidades Autónomas;Dato base;2019M02;400.651
Otras Comunidades Autónomas;Dato base;2019M01;411.955
Otras Comunidades Autónomas;Dato base;2018M12;438.778
Otras Comunidades Autónomas;Dato base;2018M11;424.567
Otras Comunidades Autónomas;Dato base;2018M10;731.627
Otras Comunidades Autónomas;Dato base;2018M09;831.695
Otras Comunidades Autónomas;Dato base;2018M08;1.239.564
Otras Comunidades Autónomas;Dato base;2018M07;962.995
Otras Comunidades Autónomas;Dato base;2018M06;653.738
Otras Comunidades Autónomas;Dato base;2018M05;761.962
Otras Comunidades Autónomas;Dato base;2018M04;730.316
Otras Comunidades Autónomas;Dato base;2018M03;453.476
Otras Comunidades Autónomas;Dato base;2018M02;337.950
Otras Comunidades Autónomas;Dato base;2018M01;413.842
